,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,No_of_fund_curr,AUM,sales_curr,sales_12M_2018,redemption_curr,redemption_12M,new_Fund_added_12M_2018,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MULTIPLE,aum_P_MF,aum_P_SMA
1666,-0.19937074861645024,-0.030545860539055596,-0.20784294346352924,-0.5739767686322398,0.18476441907543537,-0.3734146921143319,-0.06158200500558993,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.048130686740602065,-0.4157776643217589,0.060465514490871064,-0.0789598129951342,-0.07343669416387313,-0.022409919826655706,-0.024623744415522085,-0.05619448685599466
4027,-0.18943682317773178,-0.07533588155185034,-0.11575030612881901,-0.15308050572840992,0.9972637765544141,4.104364569660782,0.4830068398670269,-0.0850831945341062,-0.12938975029919594,0.09139451153971327,0.119727699813626,-0.4157776643217589,0.055575865759348635,0.33186708511261603,0.5424105130711064,-0.04301879973133749,0.2919626674097591,0.02825985608807675
241,0.9628985277136086,0.12174021090444649,-0.20784294346352924,4.476778386213719,4.24726120647033,2.1853163146143046,0.4180689064221619,-0.03201463510542197,-0.04001550742561394,0.09139451153971327,-0.2611622376178111,0.4370902276657272,-0.014579631248020685,-0.0922612563099658,-0.05788495617983977,-0.022409919826655706,0.5468396018159428,-0.05619448685599466
8902,0.019175611035355696,-0.035024862640335074,0.713083429883573,1.1096082829830796,0.9972637765544141,2.1853163146143046,0.21459763658510525,0.02267508530687572,0.17699093546460512,0.08956827491043055,0.09626009007716545,-0.4157776643217589,0.05114073285483826,0.15077746991999985,-0.22523869778164055,1.434982003181897,0.3044208552801843,-0.05619448685599466
1326,0.048977387351511054,0.02320216467629808,0.06843496854060145,1.5305045458869095,0.9972637765544141,0.2662680595678273,-0.07510649999944093,-0.0850831945341062,-0.08974151695990501,0.09139451153971327,0.15197348960427784,0.4370902276657272,-0.005306311125670553,-0.07828001827660615,0.020980317155726187,-0.022409919826655706,-0.04073703218614471,-0.05619448685599466
8260,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.2040408401310088,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.2818206313926467,-0.0789598129951342,-0.05828230754175621,-0.022409919826655706,-0.19435135397781708,-0.05619448685599466
9299,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.09935555399420623,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.033972085572234245,-0.0789598129951342,-0.05869344226936068,-0.022409919826655706,-0.06962772166184551,-0.05619448685599466
6629,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.09716838472649184,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029148096266752525,-0.07885637682233351,-0.05828230754175621,-0.022409919826655706,-0.06702189513525304,-0.05619448685599466
9821,-0.19937074861645024,-0.08429388575440928,-0.20784294346352924,-0.5739767686322398,-0.22148525966405402,0.5861094354089069,-0.03864479154672472,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.1315190117474481,-0.4157776643217589,-0.0021988454070577396,-0.057712294718294255,-0.0026043799453601326,0.2683389114923878,-0.022192255743430384,-0.015701759050671
4613,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.3734146921143319,-0.09598620817411867,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.07747544003309363,-0.05828230754175621,-0.022409919826655706,-0.06561343212109008,-0.05619448685599466
