,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name
4502,10751193044789884176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30248.135,3.0,6463,0022885,10751192923678589065,Independent Dealer,IBD,LPL Financial LLC
4503,4352170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3073,3002638,10751171505303941783,Bank/Trust,NACS,Wells Fargo Private Bank
4504,0335147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614,1688552,16885521137,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
4505,10751193325128673883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,1.0,6471,9000166,90001661461,Independent Dealer,NACS,Wells Fargo Advisors
4506,85202142283350642258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9726,3001620,85201142283348427390,Dual,IBD,UnionBanc Investment Services LLC
4507,0197036,0.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,92302.38,0.0,0.0,0.0,-163765.1,0.0,0.0,0.0,803,1790370,17903700384,Fee-Based Adviser,IBD,Sigma Financial Corp.
4508,85102160793289121140,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,117463.91,0.0,67463.91,0.0,0.0,0.0,5000.0,0.0,8351,0013128,85201140164950466251,Independent Dealer,IBD,"First Allied Securities, Inc."
4509,4374411,43.0,215.0,3.0,1.0,8.0,8.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,2.0,49401.03,577.51,75411.61,-367.38,-107471.67,2.0,68001.74,0.0,3462,0001194,00011941399,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4510,0130480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.46,0.0,0.0,0.0,0.0,637,1735461,85102140345946509541,Independent Dealer,IBD,Raymond James & Associates Inc.
4511,0282717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216,1423908,14239084666,Independent Dealer,IBD,"Royal Alliance Associates, Inc."
